Usage,Temp,Hour
0.161,63,16
0.585,63,17
0.115,63,18
0.125,63,19
0.127,63,20
1.486,63,21
0.541,63,22
0.108,63,23
0.467,69,0
0.652,69,1
0.735,69,2
0.291,69,3
1.828,69,4
1.176,69,5
0.834,69,6
0.133,69,7
0.539,69,8
0.107,69,9
0.332,69,10
0.111,69,11
0.118,69,12
0.108,69,13
0.331,69,14
0.106,69,15
0.105,69,16
0.104,69,17
0.114,69,18
0.5,69,19
0.134,69,20
0.122,69,21
0.119,69,22
0.104,69,23
0.368,76,0
0.105,76,1
0.116,76,2
0.116,76,3
0.092,76,4
0.104,76,5
0.393,76,6
0.111,76,7
0.118,76,8
0.105,76,9
0.104,76,10
0.105,76,11
0.409,76,12
0.119,76,13
0.11,76,14
0.104,76,15
0.104,76,16
0.103,76,17
0.111,76,18
0.446,76,19
0.106,76,20
0.104,76,21
0.104,76,22
0.103,76,23
0.113,78,0
0.117,78,1
0.434,78,2
0.104,78,3
0.094,78,4
0.103,78,5
0.112,78,6
0.118,78,7
0.104,78,8
0.419,78,9
0.195,78,10
0.163,78,11
0.109,78,12
0.105,78,13
0.12,78,14
0.113,78,15
0.428,78,16
0.105,78,17
0.104,78,18
0.117,78,19
0.114,78,20
0.104,78,21
0.104,78,22
0.507,78,23
0.113,76,0
0.118,76,1
0.105,76,2
0.106,76,3
0.099,76,4
0.106,76,5
0.119,76,6
0.111,76,7
0.104,76,8
0.536,76,9
0.103,76,10
0.108,76,11
0.117,76,12
0.088,76,13
0.114,76,14
0.103,76,15
0.104,76,16
0.104,76,17
0.449,76,18
0.117,76,19
0.114,76,20
0.104,76,21
0.104,76,22
0.105,76,23
0.105,77,0
0.632,77,1
0.136,77,2
0.12,77,3
0.117,77,4
0.105,77,5
0.105,77,6
0.104,77,7
0.111,77,8
0.118,77,9
0.506,77,10
0.103,77,11
0.103,77,12
0.103,77,13
0.117,77,14
0.116,77,15
0.104,77,16
0.104,77,17
0.463,77,18
0.105,77,19
0.121,77,20
0.112,77,21
0.105,77,22
0.104,77,23
0.105,77,0
0.106,77,1
0.513,77,2
0.116,77,3
0.092,77,4
0.105,77,5
0.107,77,6
0.105,77,7
0.115,77,8
0.117,77,9
0.106,77,10
0.488,77,11
0.105,77,12
0.105,77,13
0.109,77,14
0.225,77,15
0.134,77,16
0.123,77,17
0.479,77,18
0.106,77,19
0.105,77,20
0.105,77,21
0.106,77,22
0.115,77,23
0.116,80,0
0.108,80,1
0.507,80,2
0.105,80,3
0.096,80,4
0.115,80,5
0.119,80,6
0.106,80,7
0.105,80,8
0.105,80,9
0.105,80,10
0.5,80,11
1.081,80,12
0.462,80,13
0.105,80,14
0.105,80,15
0.105,80,16
0.39,80,17
0.118,80,18
0.117,80,19
0.105,80,20
0.107,80,21
0.409,80,22
0.105,80,23
0.409,82,0
0.3,82,1
0.257,82,2
0.221,82,3
0.323,82,4
0.924,82,5
0.448,82,6
1.739,82,7
2.03,82,8
0.168,82,9
0.133,82,10
0.434,82,11
0.131,82,12
0.144,82,13
0.142,82,14
0.129,82,15
